Power Spectrum Density Estimate Output File from FourierTransform
This file, output.txt, was created at 16:39:13 on 14.11.2012
Window: no windowing applied
Number of segments = 	1
Segment length = 	32768

Frequency	Mean Square
(cycles per	Amplitude
gridpoint)	 
0.0079	0.0156
0.0080	0.0451
0.0080	0.0035
0.0080	0.0148
0.0081	0.0073
0.0081	0.0126
0.0081	0.0034
0.0082	0.0385
0.0082	0.0177
0.0082	0.0164
0.0082	0.0014
0.0083	0.0109
0.0083	0.0183
0.0083	0.0103
0.0084	0.0119
0.0084	0.0065
0.0084	0.0019
0.0085	0.0020
0.0085	0.0032
0.0085	0.0031
0.0085	0.0081
0.0086	0.0069
0.0086	0.0193
0.0086	0.0146
0.0087	0.0297
0.0087	0.0257
0.0087	0.0748
0.0088	0.06
0.0088	0.1607
0.0088	0.0132
0.0089	0.0070
0.0089	0.0149
0.0089	0.0033
0.0089	2.3796E-4
0.0090	0.0015
0.0090	0.0016
0.0090	0.0319
0.0091	0.0455
0.0091	0.0218
0.0091	0.0084
0.0092	0.0095
0.0092	0.0058
0.0092	8.5713E-4
0.0093	0.0019
0.0093	0.0242
0.0093	0.0068
0.0093	0.0103
0.0094	0.0086
0.0094	0.0059
0.0094	0.0027
0.0095	0.0032
0.0095	0.0014
0.0095	0.0131
0.0096	0.0015
0.0096	0.0022
0.0096	0.0036
0.0096	0.0075
0.0097	0.0033
0.0097	0.0109
0.0097	0.0308
0.0098	0.697
0.0098	0.0158
0.0098	0.0012
0.0099	0.0074
0.0099	0.0018
0.0099	3.8101E-4
0.01	8.0163E-4
0.01	0.0014
0.01	0.0151
0.01	0.0095
0.0101	0.0067
0.0101	0.0055
0.0101	0.0028
0.0102	0.0034
0.0102	0.0023
0.0102	0.0018
0.0103	0.0068
0.0103	0.0026
0.0103	0.0012
0.0104	0.0040
0.0104	0.0104
0.0104	0.0031
0.0104	1.4098E-4
0.0105	8.5559E-5
0.0105	0.0022
0.0105	0.0059
0.0106	0.0022
0.0106	0.0018
0.0106	0.0028
0.0107	6.6228E-4
0.0107	1.2392E-4
0.0107	0.0014
0.0107	0.0691
0.0108	0.0034
